Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"101","'360","Indonesia","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.79","E",,,,,,,"0.91","E",,
"101","'360","Indonesia","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.13","E",,
"101","'360","Indonesia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","51.4","E","48.9","E","47.1","E","46.8","E","46.6","E","46.5","E"
"101","'360","Indonesia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","135.9","E","130.7","E","127.1","E","127.2","E","127.6","E","128","E"
"102","'364","Iran (Islamic Republic of)","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.01","E","3.21","E","3.64","E","3.6","E","4.17","E","5.13","E"
"102","'364","Iran (Islamic Republic of)","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.44","E",,,,,,,,"O",,
"102","'364","Iran (Islamic Republic of)","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.7","E",,,,,,,,"O",,
"102","'364","Iran (Islamic Republic of)","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.58","E",,,,,,,,"O",,
"102","'364","Iran (Islamic Republic of)","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.49","E",,,,,,,,"O",,
"102","'364","Iran (Islamic Republic of)","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.63","E",,,,,,,,"O",,
"102","'364","Iran (Islamic Republic of)","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,,"O",,
"102","'364","Iran (Islamic Republic of)","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","7.7","E","9.2","E","14.6","E","14.8","E","15","E","15.8","E"
"102","'364","Iran (Islamic Republic of)","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","6.5","E","7.9","E","12.6","E","12.9","E","13.2","E","14","E"
"103","'368","Iraq","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.38","E","3.47","E","3.54","E","3.54","E","3.67","E","4.03","E"
"103","'368","Iraq","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.64","E",,,,,,,"0.62","E",,
"103","'368","Iraq","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1","E",,,,,,,"1.38","E",,
"103","'368","Iraq","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.29","E",,,,,,,"0.36","E",,
"103","'368","Iraq","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.57","E",,
"103","'368","Iraq","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.65","E",,,,,,,"0.58","E",,
"103","'368","Iraq","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.15","E",,
"103","'368","Iraq","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","23.1","E","23.1","E","21.9","E","28.5","E","28.4","E","26.7","E"
"103","'368","Iraq","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","9.2","E","9.4","E","9.1","E","12.1","E","12.4","E","11.9","E"
"105","'376","Israel","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.51","E","2.58","E","2.6","E","2.61","E","2.75","E","3.02","E"
"105","'376","Israel","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.34","E",,,,,,,"0.41","E",,
"105","'376","Israel","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.84","E",,,,,,,"0.71","E",,
"105","'376","Israel","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.22","E",,,,,,,"0.27","E",,
"105","'376","Israel","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.4","E",,,,,,,"0.57","E",,
"105","'376","Israel","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.56","E",,,,,,,"0.71","E",,
"105","'376","Israel","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.07","E",,,,,,,"0.08","E",,
"105","'376","Israel","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","19.2","E","18.2","E","19.5","E","19","E","18","E","16.5","E"
"105","'376","Israel","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1.6","E","1.5","E","1.7","E","1.7","E","1.6","E","1.5","E"
"110","'392","Japan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","5.48","E","5.65","E","5.57","E","5.8","E","5.91","E","6.54","E"
"110","'392","Japan","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","1.48","E",,,,,,,"1.45","E",,
"110","'392","Japan","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.89","E",,,,,,,"1.01","E",,
"110","'392","Japan","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.51","E",,,,,,,"0.52","E",,
"110","'392","Japan","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.57","E",,,,,,,"1.55","E",,
"110","'392","Japan","7011","Cost of fruits","6226","Value","PPP dollar per person per day","1","E",,,,,,,"1.29","E",,
"110","'392","Japan","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.09","E",,,,,,,"0.1","E",,
"110","'392","Japan","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","7.2","E","7.2","E","7.2","E","8","E","7.6","E","7.5","E"
"110","'392","Japan","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","9.1","E","9.1","E","9","E","10","E","9.5","E","9.3","E"
"112","'400","Jordan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.94","E","2.98","E","3.01","E","3.12","E","3.22","E","3.45","E"
"112","'400","Jordan","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.4","E",,,,,,,"0.62","E",,
"112","'400","Jordan","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.29","E",,,,,,,"0.93","E",,
"112","'400","Jordan","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.32","E",,,,,,,"0.33","E",,
"112","'400","Jordan","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.6","E",,
"112","'400","Jordan","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.6","E",,,,,,,"0.63","E",,
"112","'400","Jordan","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.12","E",,
"112","'400","Jordan","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","13","E","12.9","E","12.9","E","14.4","E","13.6","E","13","E"
"112","'400","Jordan","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1.3","E","1.3","E","1.4","E","1.6","E","1.5","E","1.5","E"
"108","'398","Kazakhstan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.12","E","2.15","E","2.24","E","2.35","E","2.52","E","2.79","E"
"108","'398","Kazakhstan","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.43","E",,,,,,,"0.53","E",,
"108","'398","Kazakhstan","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.67","E",,
